,location,location_id,direction,position,ons,offs,total,lifts,period
747,A Ave & Chandler,2,E,NS,0,1,1,0,Fall2018
748,A Ave & Second St,3,E,FS,21,9,30,1,Fall2018
744,A Ave & 10th St,4,W,NS,1,0,1,0,Fall2018
745,A Ave & 8th St,6,E,NS,0,2,2,0,Fall2018
746,A Ave & 8th St,7,W,NS,1,0,1,0,Fall2018
694,900 Block Abernethy,8,E,AT,0,0,0,0,Fall2018
749,Abernethy & Barclay,9,N,NS,1,0,1,0,Fall2018
750,Abernethy & Barclay,10,S,OP,1,1,2,0,Fall2018
751,Abernethy & Beatrice,11,E,FS,0,0,0,0,Fall2018
752,Abernethy & Center,12,W,NS,1,1,2,0,Fall2018
753,Abernethy & Duniway,13,N,NS,0,0,0,0,Fall2018
754,Abernethy & Duniway,14,S,OP,0,0,0,1,Fall2018
755,Abernethy & Portland Ave,16,W,FS,3,4,7,7,Fall2018
756,Abernethy & Portland Ave,17,E,NS,3,3,6,4,Fall2018
378,2800 Block NE 92nd,20,N,AT,0,0,0,0,Fall2018
379,2800 Block NE 92nd,21,S,AT,0,0,0,0,Fall2018
443,3400 Block NE 92nd,25,N,AT,2,5,7,0,Fall2018
2186,NE 92nd & Hill,26,S,NS,7,1,8,0,Fall2018
1282,N Adair & 7th,27,W,FS,10,25,35,2,Fall2018
318,2200 Block Baseline,28,W,AT,46,73,119,40,Fall2018
1276,N Adair & 10th,30,W,NS,1,6,7,0,Fall2018
1277,N Adair & 12th,31,W,NS,37,87,124,4,Fall2018
1278,N Adair & 14th,32,W,NS,23,51,74,6,Fall2018
1279,N Adair & 17th,33,W,FS,9,15,24,2,Fall2018
1280,N Adair & 20th,34,W,FS,24,38,62,9,Fall2018
1281,N Adair & 4th,35,W,FS,55,140,195,57,Fall2018
1648,N Trenton & Alaska,40,E,NS,55,20,75,46,Fall2018
1284,N Alaska & Chautauqua,41,E,NS,41,8,49,4,Fall2018
1285,N Alaska & Chautauqua Pl,42,E,OP,37,15,52,7,Fall2018
1286,N Alaska & Chautauqua Pl,43,W,NS,13,32,45,2,Fall2018
1287,N Alaska & Foss,44,E,OP,21,14,35,21,Fall2018
1288,N Alaska & University Park,45,W,OP,11,28,39,18,Fall2018
2243,NE Alberta & M L King ,46,E,FS,115,45,160,27,Fall2018
2218,NE Alberta & 11th,48,E,NS,12,15,27,2,Fall2018
2219,NE Alberta & 11th,49,W,NS,11,12,23,6,Fall2018
2226,NE Alberta & 13th,50,E,NS,25,14,39,23,Fall2018
2227,NE Alberta & 13th,51,W,NS,13,20,33,14,Fall2018
2228,NE Alberta & 15th,52,E,NS,83,89,172,29,Fall2018
2229,NE Alberta & 15th,53,W,NS,100,100,200,28,Fall2018
2230,NE Alberta & 18th,54,E,NS,31,32,63,5,Fall2018
2231,NE Alberta & 18th,55,W,NS,3,13,16,0,Fall2018
2234,NE Alberta & 24th,60,E,NS,28,28,56,4,Fall2018
2235,NE Alberta & 24th,61,W,NS,31,28,59,4,Fall2018
2236,NE Alberta & 27th,63,E,NS,43,41,84,15,Fall2018
2237,NE Alberta & 27th,64,W,NS,44,44,88,17,Fall2018
4227,SE Alberta & 70th,67,E,OP,5,7,12,5,Fall2018
4228,SE Alberta & 70th,68,W,NS,4,5,9,4,Fall2018
2241,NE Alberta & 9th,69,E,NS,39,35,74,16,Fall2018
2242,NE Alberta & 9th,70,W,NS,32,33,65,10,Fall2018
1289,N Albina & Ainsworth,71,N,FS,20,33,53,4,Fall2018
1290,N Albina & Ainsworth,72,S,NS,37,20,57,4,Fall2018
1291,N Albina & Alberta,73,N,NS,23,51,74,15,Fall2018
1292,N Albina & Alberta,74,S,FS,51,26,77,9,Fall2018
1293,N Albina & Blandena,76,N,FS,28,52,80,62,Fall2018
1294,N Albina & Blandena,77,S,FS,58,30,88,93,Fall2018
1295,N Albina & Bryant,78,N,NS,11,22,33,4,Fall2018
1296,N Albina & Bryant,79,S,NS,28,15,43,3,Fall2018
1297,N Albina & Buffalo,80,N,NS,3,11,14,0,Fall2018
1298,N Albina & Buffalo,81,S,NS,14,5,19,1,Fall2018
1299,N Albina & Dekum,82,N,NS,9,18,27,13,Fall2018
1300,N Albina & Dekum,83,S,NS,24,15,39,23,Fall2018
1301,N Albina & Holman,84,N,OP,2,9,11,1,Fall2018
1302,N Albina & Killingsworth,88,N,FS,239,245,484,64,Fall2018
1303,N Albina & Killingsworth,89,S,FS,263,228,491,60,Fall2018
1304,N Albina & Lombard St,90,S,FS,66,19,85,3,Fall2018
1306,N Albina & Rosa Parks Way,91,N,FS,19,33,52,9,Fall2018
1307,N Albina & Rosa Parks Way,92,S,FS,42,19,61,23,Fall2018
1305,N Albina & Lombard St,93,N,NS,8,62,70,4,Fall2018
1308,N Albina & Sumner,94,N,NS,41,46,87,3,Fall2018
1309,N Albina & Sumner,95,S,NS,47,55,102,2,Fall2018
5958,SW Allen & Dale,99,E,NS,9,2,11,0,Fall2018
5959,SW Allen & Erickson,100,E,NS,37,9,46,1,Fall2018
5960,SW Allen & Erickson,101,W,FS,8,31,39,3,Fall2018
5961,SW Allen & Hall,102,E,NS,9,45,54,6,Fall2018
5962,SW Allen & Hall,103,W,NS,37,23,60,6,Fall2018
5966,SW Allen & Menlo,104,E,NS,23,5,28,0,Fall2018
5967,SW Allen & Menlo,105,W,NS,6,23,29,1,Fall2018
5968,SW Allen & Murray,106,E,FS,26,5,31,6,Fall2018
5969,SW Allen & Taralynn,108,W,FS,5,13,18,2,Fall2018
5970,SW Allen & Wilson,111,E,NS,18,4,22,0,Fall2018
5971,SW Allen & Wilson,112,W,OP,5,16,21,0,Fall2018
5956,SW Allen & 141st,113,E,OP,18,3,21,1,Fall2018
5957,SW Allen & 141st,114,W,NS,3,18,21,2,Fall2018
1310,N Anchor & Channel,115,E,NS,291,195,486,31,Fall2018
1947,NE 21st & Argyle,118,S,FS,22,0,22,0,Fall2018
7480,W Arlington & Barton,121,E,NS,34,6,40,8,Fall2018
7481,W Arlington & Barton,122,W,NS,0,6,6,1,Fall2018
7482,W Arlington & Beatrice,123,E,NS,2,0,2,0,Fall2018
7483,W Arlington & Beatrice,124,W,NS,0,1,1,0,Fall2018
7484,W Arlington & Bellevue,125,E,NS,0,1,1,0,Fall2018
7485,W Arlington & Bellevue,126,W,NS,1,1,2,0,Fall2018
914,E Arlington & Cornell,131,E,NS,3,1,4,0,Fall2018
915,E Arlington & Cornell,132,W,NS,2,1,3,1,Fall2018
916,E Arlington & Harvard,133,E,NS,2,1,3,0,Fall2018
917,E Arlington & Harvard,134,W,NS,0,1,1,0,Fall2018
7486,W Arlington & McLoughlin,135,W,NS,3,32,35,7,Fall2018
7487,W Arlington & Portland Ave,136,E,NS,7,4,11,1,Fall2018
