full_route,boarding_rides,rides_rev_hour,rides_veh_hour,cost_per_ride,passenger_miles,delete1,ave_trip_length,delete2,delete3,delete4,delete5
MAX Blue Line,"54,770",165.8,136.4,$2.71,"347,992",56.0,"55,630",137.5,-860,-1.1,
MAX Green Line,"21,110",174.5,128.7,$2.87,"101,240",48.7,"21,250",132.5,-140,-3.8,
MAX Orange Line,"12,130",153.1,118.0,$3.13,"49,811",39.9,"12,170",117.0,-40,1.0,
MAX Red Line,"22,050",158.5,129.5,$2.85,"127,487",47.1,"20,690",127.6,"1,360",1.8,
MAX Yellow Line,"13,310",180.7,130.5,$2.83,"42,509",40.7,"13,390",135.3,-80,-4.9,
WES Commuter Rail,"1,590",110.6,65.1,$20.73,"13,590",29.2,"1,730",70.8,-140,-5.7,
,,,,,,,,,,,
Portland Streetcar - NS Line,,,,,,,,,,,
Portland Streetcar - A Loop,,,,,,,,,,,
Portland Streetcar - B Loop,,,,,,,,,,,
Portland Aerial Tram,,,,,,,,,,,
,,,,,,,,,,,
1-Vermont,430,22.2,14.7,$7.10,"1,400",5.7,450,18.9,-20,-4.2,
2-Division,"9,360",44.2,33.3,$3.14,"30,285",12.7,,,,,
4-Fessenden,"6,760",37.0,27.9,$3.75,"19,414",10.3,"16,330",37.1,"-9,570",-9.2,
6-Martin Luther King Jr Blvd,"5,980",43.7,33.3,$3.14,"16,000",8.8,"5,570",31.6,410,1.7,
8-Jackson Park/NE 15th,"6,010",42.6,29.8,$3.51,"12,971",9.2,"6,170",31.9,-160,-2.1,
9-Powell Blvd,"8,350",40.9,31.0,$3.38,"30,062",12.1,"8,630",31.9,-280,-0.9,
10-Harold St,"2,300",29.0,23.0,$4.55,"7,039",6.6,"2,320",24.0,-20,-1.0,
11-Rivergate/Marine Dr,190,16.9,11.2,$9.35,978,4.0,170,10.2,20,1.0,
12-Barbur/Sandy Blvd,"7,980",41.9,31.2,$3.36,"28,913",12.7,"8,170",32.1,-190,-0.9,
14-Hawthorne,"5,440",50.5,37.8,$2.77,"11,078",9.2,"5,750",40.6,-310,-2.8,
15-Belmont/NW 23rd,"7,980",43.3,31.2,$3.35,"18,439",9.8,"7,900",31.5,80,-0.2,
16-Front Ave/St Helens Rd,790,22.5,15.3,$6.83,"4,623",6.4,760,15.3,30,0.0,
17-Holgate/Broadway,"5,980",35.3,27.4,$3.82,"20,880",10.8,"6,120",28.4,-140,-1.0,
18-Hillside,30,16.7,16.7,$6.25,59,2.6,30,16.1,0,0.6,
19-Woodstock/Glisan,"5,440",31.2,24.2,$4.32,"18,051",8.3,"5,970",27.5,-530,-3.2,
20-Burnside/Stark,"11,200",42.1,33.7,$3.10,"43,814",11.9,"10,750",35.1,450,-1.4,
21-Sandy Blvd/223rd,"2,040",31.8,20.6,$5.07,"7,151",6.5,"2,060",21.0,-20,-0.4,
22-Parkrose,570,32.6,23.4,$4.48,791,2.9,530,22.0,40,1.3,
23-San Rafael,140,19.3,12.0,$8.73,283,2.2,140,11.9,0,0.1,
24-Fremont,500,19.3,14.3,$7.33,"1,317",3.5,490,13.8,10,0.4,
25-Glisan/Rockwood,160,23.3,16.0,$6.54,341,2.8,170,17.0,-10,-1.0,
29-Lake/Webster Rd,220,17.7,14.2,$7.35,693,3.5,200,12.9,20,1.4,
30-Estacada,590,16.3,10.7,$9.78,"6,098",6.2,560,10.2,30,0.5,
32-Oatfield,620,13.8,10.3,$10.12,"2,303",3.8,590,10.6,30,-0.3,
33-McLoughlin/King Rd,"4,950",33.6,24.7,$4.24,"19,959",9.4,"4,960",24.7,-10,0.0,
34-Linwood/River Rd,530,12.7,9.8,$10.66,"2,341",3.5,540,10.2,-10,-0.4,
35-Macadam/Greeley,"3,700",29.6,22.3,$4.69,"20,651",11.3,"3,690",24.0,10,-1.7,
36-South Shore,210,20.1,11.9,$8.80,909,5.7,200,11.5,10,0.4,
37-Lake Grove,70,18.3,11.9,$8.77,221,2.8,80,13.1,-10,-1.2,
,,TriMet Service Performance and Analysis.,,,,Report production date: 12/05/2018,,,,,
,,,,,,,,,,,
Route Ridership Report,,,,,Weekdays,,,Fall 2018,,2,
