full_route,boarding_rides,rides_rev_hour,rides_veh_hour,cost_per_ride,passenger_miles,delete1,ave_trip_length,delete2,delete3,delete4,delete5
MAX Blue Line,"53,920",163.8,135.2,$2.93,"339,866",54.9,"54,770",136.4,-850,-1.3,
MAX Green Line,"20,940",173.0,127.7,$3.10,"95,225",45.8,"21,110",128.7,-170,-1.1,
MAX Orange Line,"12,160",153.4,118.2,$3.35,"50,280",40.3,"12,130",118.0,30,0.2,
MAX Red Line,"21,830",156.9,128.2,$3.09,"125,808",46.5,"22,050",129.5,-220,-1.3,
MAX Yellow Line,"13,430",181.8,131.3,$3.02,"42,740",41.0,"13,310",130.5,120,0.8,
WES Commuter Rail,"1,460",101.4,59.6,$23.32,"12,026",25.8,"1,590",65.1,-130,-5.5,
1-Vermont,430,22.8,15.0,$7.01,"1,217",5.1,430,14.7,0,0.2,
2-Division,"9,140",42.8,32.3,$3.24,"27,981",11.7,"9,360",33.3,-220,-1.0,
4-Fessenden,"6,890",37.7,28.2,$3.71,"19,949",10.6,"6,760",27.9,130,0.3,
6-Martin Luther King Jr Blvd,"6,380",45.8,34.5,$3.04,"17,040",9.4,"5,980",33.3,400,1.1,
8-Jackson Park/NE 15th,"5,860",41.6,29.5,$3.56,"12,703",9.0,"6,010",29.8,-150,-0.3,
9-Powell Blvd,"8,160",39.4,30.0,$3.49,"27,825",11.2,"8,350",31.0,-190,-1.0,
10-Harold St,"2,390",30.2,23.8,$4.40,"7,380",6.9,"2,300",23.0,90,0.8,
11-Rivergate/Marine Dr,210,19.3,12.8,$8.17,"1,198",4.9,190,11.2,20,1.6,
12-Barbur/Sandy Blvd,"7,910",41.5,30.9,$3.39,"28,152",12.4,"7,980",31.2,-70,-0.3,
14-Hawthorne,"6,030",51.6,39.0,$2.69,"12,261",10.2,"5,440",37.8,590,1.2,
15-Belmont/NW 23rd,"8,340",45.0,32.8,$3.20,"18,945",10.1,"7,980",31.2,360,1.5,
16-Front Ave/St Helens Rd,800,20.6,14.0,$7.48,"4,545",6.2,790,15.3,10,-1.3,
17-Holgate/Broadway,"6,500",38.4,29.8,$3.52,"22,323",11.6,"5,980",27.4,520,2.4,
18-Hillside,30,16.0,16.0,$6.54,39,1.8,30,16.7,0,-0.7,
19-Woodstock/Glisan,"5,690",32.8,25.4,$4.13,"18,583",8.5,"5,440",24.2,250,1.2,
20-Burnside/Stark,"11,400",42.3,33.9,$3.09,"45,827",12.3,"11,200",33.7,200,0.2,
21-Sandy Blvd/223rd,"2,010",30.9,20.4,$5.13,"6,200",5.6,"2,040",20.6,-30,-0.2,
22-Parkrose,570,25.2,18.6,$5.65,769,2.4,570,23.4,0,-4.8,
23-San Rafael,150,16.5,11.1,$9.46,253,1.8,140,12.0,10,-0.9,
24-Fremont/NW 18th,"1,280",19.0,13.7,$7.63,"4,473",5.3,500,14.3,780,-0.5,
25-Glisan/Rockwood,170,17.9,11.8,$8.88,360,2.5,160,16.0,10,-4.2,
29-Lake/Webster Rd,160,12.8,10.3,$10.20,547,2.8,220,14.2,-60,-4.0,
30-Estacada,600,16.5,10.9,$9.64,"5,950",6.1,590,10.7,10,0.2,
31-Webster Rd,580,19.1,12.1,$8.69,"2,580",4.8,,,,,
32-Oatfield,570,14.9,10.3,$10.20,"2,143",3.5,620,10.3,-50,-0.1,
33-McLoughlin/King Rd,"4,850",32.9,24.1,$4.34,"19,407",9.1,"4,950",24.7,-100,-0.6,
34-Linwood/River Rd,560,13.5,10.4,$10.09,"2,651",4.0,530,9.8,30,0.6,
35-Macadam/Greeley,"3,750",30.1,22.7,$4.61,"20,282",11.1,"3,700",22.3,50,0.4,
36-South Shore,220,19.3,12.0,$8.77,961,5.6,210,11.9,10,0.1,
37-Lake Grove,70,14.0,8.6,$12.20,231,2.6,70,11.9,0,-3.3,
38-Boones Ferry Rd,450,22.2,14.2,$7.39,"2,832",8.8,420,13.1,30,1.1,
39-Lewis & Clark,200,20.4,13.6,$7.70,418,3.0,170,12.0,30,1.6,
42-Denney/Hall,470,23.7,17.9,$5.86,"1,349",5.2,420,15.6,50,2.3,
,,TriMet Operations Planning and Development.,,,,,,,,,
,,,,,,,,,,,
Route Ridership Report,,,,,Weekdays,,,Fall 2019,,2,
,,,,Fall 2019 Quarter,,,,Fall 2018 Quarter,,,
,,,,,,Passenger,,Rides,,Rides,
,,Rides,Rides,Cost,,Miles Per,,Per,,Per,
,Boarding,Revenue,Vehicle,Per,Passenger,Revenue,Boarding,Vehicle,Rides,Hour,
Route,Rides,Hour,Hour,Ride,Miles,Mile,Rides,Hour,Change,Change,
43-Taylors Ferry Rd,320,15.0,11.2,$9.38,"1,385",4.4,310,10.9,10,0.3,
44-Capitol Hwy/Mocks Crest,"4,940",38.1,26.8,$3.91,"19,392",11.8,"4,720",25.5,220,1.4,
45-Garden Home,"1,080",24.3,18.3,$5.74,"4,974",7.9,"1,100",18.7,-20,-0.4,
46-North Hillsboro,200,16.7,12.4,$8.48,606,2.5,200,12.5,0,-0.2,
47-Main/Evergreen,"1,070",19.8,14.6,$7.16,"4,236",4.1,"1,020",14.0,50,0.7,
48-Cornell,"1,850",34.5,23.5,$4.45,"7,213",8.1,"1,850",23.4,0,0.1,
50-Cedar Mill,100,19.4,12.3,$8.53,357,3.6,90,11.2,10,1.1,
51-Vista,330,23.8,15.4,$6.79,626,3.8,310,14.2,20,1.3,
52-Farmington/185th,"4,290",46.7,33.6,$3.12,"11,230",9.1,"4,230",33.1,60,0.5,
53-Arctic/Allen,200,47.9,28.3,$3.71,418,7.1,190,26.2,10,2.1,
54-Beaverton-Hillsdale Hwy,"2,320",44.0,34.0,$3.08,"7,936",10.9,"2,400",35.1,-80,-1.1,
55-Hamilton,60,23.5,11.9,$8.78,251,7.1,80,14.3,-20,-2.4,
56-Scholls Ferry Rd,"1,790",33.4,25.7,$4.08,"7,849",10.3,"1,820",26.1,-30,-0.5,
57-TV Hwy/Forest Grove,"7,080",46.1,33.9,$3.09,"31,868",12.4,"7,060",34.0,20,-0.1,
58-Canyon Rd,"1,020",33.3,23.9,$4.38,"3,894",7.4,"1,070",26.5,-50,-2.6,
59-Walker/Park Way,100,21.2,14.7,$7.12,319,4.0,100,15.1,0,-0.4,
61-Marquam Hill/Beaverton,570,49.3,25.4,$4.12,"3,694",21.1,550,24.8,20,0.7,
62-Murray Blvd,"2,230",36.4,27.6,$3.80,"8,278",9.2,"2,240",27.7,-10,-0.1,
63-Washington Park/Arlington Hts,100,13.7,8.3,$12.60,148,1.8,120,10.2,-20,-1.9,
64-Marquam Hill/Tigard,440,40.2,20.5,$5.12,"2,325",15.3,430,19.5,10,1.0,
65-Marquam Hill/Barbur Blvd,130,31.1,15.4,$6.79,381,7.0,130,15.2,0,0.2,
66-Marquam Hill/Hollywood,510,40.9,21.1,$4.97,"2,118",14.1,470,19.4,40,1.7,
67-Bethany/158th,720,30.3,22.4,$4.68,"1,550",3.7,670,20.9,50,1.5,
68-Marquam Hill/Collins Circle,530,50.9,23.6,$4.44,"1,025",10.5,470,21.0,60,2.6,
70-12th/NE 33rd Ave,"3,490",31.6,23.3,$4.50,"9,772",7.2,"3,230",21.6,260,1.7,
71-60th Ave,"3,500",29.8,22.1,$4.75,"10,368",6.7,"3,570",24.2,-70,-2.1,
72-Killingsworth/82nd Ave,"13,510",45.7,35.6,$2.94,"37,292",10.5,"14,180",38.4,-670,-2.9,
73-122nd Ave,"4,390",46.5,31.8,$3.29,"9,202",7.5,"4,310",31.3,80,0.5,
74-162nd Ave,660,22.5,14.9,$7.01,"1,165",2.4,420,16.2,240,-1.3,
75-Cesar Chavez/Lombard,"8,910",38.7,30.4,$3.45,"27,176",9.0,"8,690",29.8,220,0.7,
76-Beaverton/Tualatin,"2,360",39.7,29.8,$3.52,"8,655",10.8,"2,470",31.0,-110,-1.2,
77-Broadway/Halsey,"5,610",35.4,27.4,$3.83,"17,857",9.3,"5,570",27.2,40,0.2,
78-Beaverton/Lake Oswego,"2,290",35.6,26.0,$4.03,"8,868",9.4,"2,440",27.2,-150,-1.2,
79-Clackamas/Oregon City,750,26.1,17.3,$6.05,"3,169",6.2,"1,000",19.5,-250,-2.1,
80-Kane/Troutdale Rd,210,17.5,13.2,$7.94,609,3.0,250,15.5,-40,-2.3,
81-Kane/257th,580,32.0,23.2,$4.52,"2,097",6.7,460,18.2,120,5.0,
82-South Gresham,220,11.6,8.3,$12.61,491,1.7,210,8.0,10,0.3,
84-Powell Valley/Orient Dr,80,16.1,9.6,$10.90,279,3.3,70,8.5,10,1.1,
85-Swan Island,450,29.6,20.7,$5.06,"1,218",4.5,430,20.0,20,0.7,
,,TriMet Operations Planning and Development.,,,,,,,,,
,,,,,,,,,,,
,Route Ridership Report,,,,Weekdays,,,Fall 2019,,3,
,,,,Fall 2019 Quarter,,,,Fall 2018 Quarter,,,
,,,,,,Passenger,,Rides,,Rides,
,,Rides,Rides,Cost,,Miles Per,,Per,,Per,
,Boarding,Revenue,Vehicle,Per,Passenger,Revenue,Boarding,Vehicle,Rides,Hour,
Route,Rides,Hour,Hour,Ride,Miles,Mile,Rides,Hour,Change,Change,
87-Airport Way/181st,"1,050",29.8,19.8,$5.29,"3,045",5.6,990,18.6,60,1.2,
88-Hart/198th,"1,520",33.0,23.1,$4.54,"5,759",7.2,"1,630",24.8,-110,-1.7,
92-South Beaverton Express,330,26.9,15.5,$6.75,"2,952",15.1,340,17.0,-10,-1.5,
93-Tigard/Sherwood,640,22.2,13.6,$7.71,"1,852",3.8,670,14.2,-30,-0.6,
94-Pacific Hwy/Sherwood,"2,340",32.3,20.2,$5.20,"14,112",12.7,"2,330",20.1,10,0.1,
96-Tualatin/I-5,"1,300",22.4,13.6,$7.72,"10,375",9.2,"1,220",13.2,80,0.4,
97-Tualatin-Sherwood Rd,70,9.0,4.5,$23.06,136,1.1,90,5.6,-20,-1.1,
99-Macadam/McLoughlin,800,20.4,13.8,$7.62,"3,337",5.8,750,12.5,50,1.2,
152-Milwaukie,210,11.7,7.1,$14.75,545,2.5,200,6.8,10,0.4,
154-Willamette/Clackamas Heights,120,13.2,8.2,$12.78,281,1.4,130,8.7,-10,-0.5,
