location,location_id,direction,position,ons,offs,total,lifts
100 Block NE 102nd,6503,S,AT,11,6,17,7
100 Block Warner - Milne,6113,E,AT,2,9,11,0
1000 Block N Marine,9478,E,AT,0,1,1,0
1000 Block SW Baseline St,268,W,AT,22,55,77,12
10000 Block NE Pacific St,4287,E,AT,147,4,151,66
10000 Block NE Pacific St,4288,W,OP,5,170,175,97
10000 Block SE Main,8914,E,AT,19,15,34,21
10000 Block SE Mt Scott,4032,E,AT,0,4,4,5
10000 Block SE Powell,4561,W,AT,4,5,9,0
10000 Block SE Stevens Rd,11453,S,OP,3,15,18,2
10000 Block SW Terwilliger,12729,E,OP,0,10,10,0
10100 Block SE Stevens Rd,11454,N,AT,12,4,16,3
10100 Block SW Barbur,150,E,AT,14,17,31,4
10100 Block SW Commerce Circle,13493,E,AT,45,45,90,35
10200 Block N Lombard,9436,S,AT,30,0,30,1
10200 Block SE Main,8917,W,AT,20,20,40,17
10200 Block SE Main,12462,N,AT,0,1,1,0
10200 Block SE Main,12463,S,OP,1,0,1,0
10200 Block SW Park Way,4366,E,OP,0,2,2,0
10200 Block SW Park Way,10037,W,AT,1,0,1,0
102nd & Morris St,6520,S,FS,15,4,19,1
10400 Block NE 6th Dr,13818,S,OP,1,1,2,0
10400 Block SW Allen,9689,E,AT,34,2,36,0
10500 Block NE Halsey,2356,E,AT,32,23,55,16
10500 Block SE Cherry Blossom,8915,W,AT,9,8,17,3
10500 Block SE Cherry Blossom,11026,E,AT,9,16,25,10
10500 Block SE Mather,9002,W,AT,7,1,8,0
10500 Block SE Mather,10205,E,OP,1,5,6,0
10500 Block SW Allen,9703,W,AT,0,20,20,0
10600 Block NE Prescott,4725,E,AT,7,7,14,1
10700 Block NE Prescott,4726,W,OP,10,6,16,0
10700 Block SE Hwy 212,2899,W,AT,14,1,15,1
10700 Block SW Barbur,152,S,AT,1,5,6,0
10800 Block SE Highway 212,2868,E,AT,1,14,15,0
10800 Block SE Powell,4503,W,AT,20,7,27,3
10800 Block SE Powell,4504,E,AT,6,27,33,5
10800 SW Walnut,14000,E,AT,1,0,1,0
10900 Block SW 121st,10698,S,OP,2,1,3,0
10900 Block SW 5th,9698,W,OP,4,2,6,0
10900 Block SW 5th,9699,E,AT,1,4,5,0
10th St & 8th Court,9296,N,NS,4,11,15,4
1100 Block N Hayden Meadows Dr,9862,N,NS,72,26,98,71
1100 Block N Hayden Meadows Dr,13909,S,AT,22,70,92,65
1100 Block NW Frontage Rd,9481,E,AT,135,130,265,41
11000 Block NE Holman,9107,E,AT,4,11,15,4
11000 Block NE Holman,10731,W,OP,11,4,15,2
11000 Block SE Mather,9001,W,AT,0,0,0,0
 ,,,,,,,
TriMet Passenger Census -Fall 2018,2,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
11100 Block SW Barbur,153,W,AT,1,1,2,0
11100 Block SW Barbur,154,E,OP,2,1,3,0
11200 Block SW Barbur,183,E,AT,11,7,18,0
11200 Block SW Barbur,184,W,OP,5,11,16,0
11200 Block SW Boones Ferry Rd,492,N,AT,2,0,2,0
11400 Block NW St Helens,5341,N,AT,1,2,3,0
11400 Block NW St Helens,5342,S,OP,1,0,1,0
11400 Block SE Hwy 212,2892,W,AT,11,2,13,0
11500 Block SW Pacific Hwy,4248,E,AT,7,9,16,2
11600 Block SE Foster,1773,E,OP,17,11,28,1
11600 Block SE Foster,1774,W,AT,12,25,37,0
11600 Block SE Linwood,3426,N,OP,2,1,3,0
11600 Block SE Linwood,3427,S,AT,2,3,5,0
11600 Block SW Pacific Hwy,10639,W,AT,35,154,189,8
11700 Block SW Hall,13929,S,OP,0,8,8,2
11700 Block SW Hall,13933,N,AT,4,0,4,2
11700 Block SW Pacific Hwy,4252,E,OP,3,8,11,0
11700 Block SW Pacific Hwy,4253,W,AT,5,3,8,0
11800 Block NW McDaniel,13283,W,OP,1,1,2,0
11900 Block SE Fuller (La Salle),1935,N,OP,6,1,7,0
11900 Block SE Fuller (La Salle),1936,S,AT,6,3,9,0
11900 Block SE Linwood (Linwood Sch),3432,N,OP,2,2,4,0
11900 Block SE Linwood (Linwood Sch),3433,S,AT,2,1,3,0
1200 Block NE 102nd,6522,N,OP,60,10,70,25
1200 Block NE 102nd,6523,S,AT,8,35,43,26
1200 Block NE 25th,10289,S,AT,0,1,1,0
1200 Block NW Swigert Way,13975,E,AT,109,103,212,1
12000 Block SW Lesser,3388,S,OP,0,0,0,0
12100 Block SW Lesser,3387,N,AT,0,0,0,0
12100 N Pavilion,13748,N,NS,108,4,112,44
12200 Block NW Barnes,227,S,AT,45,8,53,0
12200 Block NW Cornell,1160,E,AT,12,6,18,12
12200 Block NW Cornell,1161,W,OP,1,8,9,9
12200 Block SE McLoughlin,3810,N,AT,8,9,17,14
12300 Block SE Foster,1786,E,AT,7,4,11,1
12300 Block SE Linwood,3428,N,OP,4,3,7,1
12300 Block SE Linwood,3429,S,AT,7,5,12,0
12400 Block NE Halsey,2352,W,OP,28,48,76,25
12400 Block NW Barnes,234,N,OP,14,36,50,1
12400 Block SE Harold,2505,E,AT,1,1,2,0
12400 Block SE Harold,2506,W,AT,1,0,1,0
12500 Block SE River Rd,4819,N,AT,8,2,10,0
12500 Block SE River Rd,4820,S,AT,1,5,6,0
12600 Block NE Prescott Dr,4772,E,OP,1,7,8,1
12600 Block SE River Rd,4821,S,OP,1,6,7,0
12600 Block SE Stark,12950,E,AT,18,53,71,8
12700 Block NE San Rafael,13143,W,AT,0,0,0,0
 ,,,,,,,
TriMet Passenger Census -Fall 2018,3,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
12700 Block SE Hwy 212,11930,E,AT,0,1,1,0
12700 Block SE Hwy 212,11931,W,OP,1,0,1,0
12700 Block SE McLoughlin,8726,N,AT,6,8,14,1
12900 Block NE Airport Way,10728,W,AT,7,5,12,1
12900 Block NE Glisan (Menlo Park ES),2005,E,AT,1,3,4,2
12900 Block NW Cornell,1162,W,AT,11,7,18,0
12900 Block SE Harold,2507,W,AT,7,0,7,0
12900 Block SW Canyon,8273,W,AT,34,8,42,2
12900 Block SW Canyon,13577,E,AT,3,33,36,2
1300 Block NE 25th,10288,N,AT,0,0,0,0
1300 Block NW Eastman,1579,S,AT,2,100,102,15
1300 Block SE 122nd,6643,S,OP,23,57,80,55
13000 Block NW Cornell,8828,E,AT,8,8,16,1
13100 Block NE Airport Way,10717,E,AT,3,10,13,0
13100 Block SE Division,1309,W,AT,24,8,32,1
13100 Block SE Foster,1769,W,AT,3,7,10,0
13200 Block N Lombard,3540,N,AT,1,0,1,0
13200 Block N Lombard,3541,S,OP,1,1,2,0
13300 Block N Rivergate,9193,N,OP,0,0,0,0
13300 Block N Rivergate Blvd,9196,S,AT,0,0,0,0
13300 Block SE Hubbard,10225,W,OP,6,0,6,0
13300 Block SE Hubbard,10226,E,AT,0,2,2,0
13300 Block SW Pacific Hwy,8260,E,AT,13,3,16,4
13400 Block SW Pacific Hwy,4254,W,AT,6,22,28,11
13500 Block SW Millikan,3892,E,OP,8,8,16,1
13500 Block SW Millikan,9463,W,AT,4,3,7,0
13500 Block SW Park Way,4387,W,AT,0,0,0,0
13600 Block NE Rose Parkway,4955,E,AT,1,2,3,0
13700 Block SE McLoughlin,3780,N,AT,4,6,10,1
13700 Block SE McLoughlin,3827,S,OP,8,9,17,2
