location,location_id,direction,position,ons,offs,total,lifts
A Ave & Second St,3,E,FS,19,10,29,5
A Ave & 8th St,6,E,NS,0,3,3,0
A Ave & 8th St,7,W,NS,3,0,3,2
900 Block Abernethy,8,E,AT,0,0,0,0
Abernethy & Barclay,9,N,NS,1,0,1,0
Abernethy & Barclay,10,S,OP,1,0,1,0
Abernethy & Beatrice,11,E,FS,0,1,1,0
Abernethy & Center,12,W,NS,1,0,1,0
Abernethy & Duniway,13,N,NS,1,0,1,0
Abernethy & Duniway,14,S,OP,1,0,1,2
Abernethy & Portland Ave,16,W,FS,4,3,7,2
Abernethy & Portland Ave,17,E,NS,6,4,10,0
2800 Block NE 92nd,20,N,AT,1,1,2,0
2800 Block NE 92nd,21,S,AT,1,2,3,0
3400 Block NE 92nd,25,N,AT,4,7,11,1
NE 92nd & Hill,26,S,NS,6,4,10,0
N Adair & 7th,27,W,FS,6,18,24,1
2200 Block Baseline,28,W,AT,51,67,118,33
N Adair & 10th,30,W,NS,32,62,94,9
N Adair & 12th,31,W,NS,21,54,75,2
N Adair & 14th,32,W,NS,26,49,75,16
N Adair & 17th,33,W,FS,10,13,23,1
N Adair & 20th,34,W,FS,19,34,53,3
N Adair & 4th,35,W,FS,56,136,192,70
N Trenton & Alaska,40,E,NS,56,17,73,23
N Alaska & Chautauqua,41,E,NS,40,15,55,1
N Alaska & Chautauqua Pl,42,E,OP,28,15,43,7
N Alaska & Chautauqua Pl,43,W,NS,15,27,42,5
N Alaska & Foss,44,E,OP,20,15,35,4
N Alaska & University Park,45,W,OP,11,28,39,3
NE Alberta & M L King,46,E,FS,124,45,169,18
NE Alberta & 11th,48,E,NS,12,17,29,1
NE Alberta & 11th,49,W,NS,11,13,24,3
NE Alberta & 13th,50,E,NS,23,12,35,7
NE Alberta & 13th,51,W,NS,13,20,33,7
NE Alberta & 15th,52,E,NS,80,85,165,48
NE Alberta & 15th,53,W,NS,92,93,185,35
NE Alberta & 18th,54,E,NS,24,29,53,1
NE Alberta & 18th,55,W,NS,1,3,4,0
NE Alberta & 24th,60,E,NS,21,27,48,5
NE Alberta & 24th,61,W,NS,28,25,53,5
