location,location_id,direction,position,ons,offs,total,lifts
A Ave & Second St,3,E,FS,22,10,32,4
A Ave & 8th St,6,E,NS,0,2,2,0
A Ave & 8th St,7,W,NS,1,0,1,0
900 Block Abernethy,8,E,AT,0,0,0,0
Abernethy & Barclay,9,N,NS,1,0,1,0
Abernethy & Barclay,10,S,OP,1,0,1,0
Abernethy & Beatrice,11,E,FS,1,1,2,0
Abernethy & Center,12,W,NS,1,1,2,0
Abernethy & Duniway,13,N,NS,1,0,1,0
Abernethy & Duniway,14,S,OP,0,1,1,1
Abernethy & Portland Ave,16,W,FS,3,3,6,3
Abernethy & Portland Ave,17,E,NS,4,3,7,1
2800 Block NE 92nd,20,N,AT,0,1,1,0
2800 Block NE 92nd,21,S,AT,3,1,4,2
3400 Block NE 92nd,25,N,AT,3,5,8,1
NE 92nd & Hill,26,S,NS,7,1,8,0
N Adair & 7th,27,W,FS,5,18,23,3
2200 Block Baseline,28,W,AT,51,74,125,36
N Adair & 10th,30,W,NS,32,59,91,18
N Adair & 12th,31,W,NS,19,62,81,10
N Adair & 14th,32,W,NS,28,54,82,9
N Adair & 17th,33,W,FS,9,15,24,4
N Adair & 20th,34,W,FS,21,40,61,10
N Adair & 4th,35,W,FS,56,141,197,52
N Trenton & Alaska,40,E,NS,49,17,66,28
N Alaska & Chautauqua,41,E,NS,39,8,47,13
N Alaska & Chautauqua Pl,42,E,OP,29,17,46,6
N Alaska & Chautauqua Pl,43,W,NS,14,28,42,3
N Alaska & Foss,44,E,OP,23,20,43,26
N Alaska & University Park,45,W,OP,12,32,44,18
NE Alberta & M L King,46,E,FS,122,44,166,29
NE Alberta & 11th,48,E,NS,13,16,29,8
NE Alberta & 11th,49,W,NS,11,12,23,8
NE Alberta & 13th,50,E,NS,25,12,37,6
NE Alberta & 13th,51,W,NS,12,19,31,6
NE Alberta & 15th,52,E,NS,78,81,159,38
NE Alberta & 15th,53,W,NS,96,104,200,43
NE Alberta & 18th,54,E,NS,27,30,57,8
NE Alberta & 18th,55,W,NS,1,5,6,0
NE Alberta & 24th,60,E,NS,25,25,50,2
NE Alberta & 24th,61,W,NS,26,27,53,5
NE Alberta & 27th,63,E,NS,45,38,83,6
NE Alberta & 27th,64,W,NS,43,44,87,9
SE Alberta & 70th,67,E,OP,6,10,16,4
SE Alberta & 70th,68,W,NS,9,5,14,3
NE Alberta & 9th,69,E,NS,45,39,84,30
