,route_number,route_name,boarding_rides,rides_rev_hour,rides_veh_hour,cost_per_ride,passenger_miles,ave_trip_length,period
12,1,Vermont,430,22.2,14.7,7.10,1400,450,Fall2018
14,4,Fessenden,"6,760",37.0,27.9,3.75,19414,"16,330",Fall2018
15,6,Martin Luther King Jr Blvd,"5,980",43.7,33.3,3.14,16000,"5,570",Fall2018
16,8,Jackson Park/NE 15th,"6,010",42.6,29.8,3.51,12971,"6,170",Fall2018
17,9,Powell Blvd,"8,350",40.9,31.0,3.38,30062,"8,630",Fall2018
18,10,Harold St,"2,300",29.0,23.0,4.55,7039,"2,320",Fall2018
19,11,Rivergate/Marine Dr,190,16.9,11.2,9.35,978,170,Fall2018
20,12,Barbur/Sandy Blvd,"7,980",41.9,31.2,3.36,28913,"8,170",Fall2018
21,14,Hawthorne,"5,440",50.5,37.8,2.77,11078,"5,750",Fall2018
22,15,Belmont/NW 23rd,"7,980",43.3,31.2,3.35,18439,"7,900",Fall2018
23,16,Front Ave/St Helens Rd,790,22.5,15.3,6.83,4623,760,Fall2018
24,17,Holgate/Broadway,"5,980",35.3,27.4,3.82,20880,"6,120",Fall2018
25,18,Hillside,30,16.7,16.7,6.25,59,30,Fall2018
26,19,Woodstock/Glisan,"5,440",31.2,24.2,4.32,18051,"5,970",Fall2018
27,20,Burnside/Stark,"11,200",42.1,33.7,3.10,43814,"10,750",Fall2018
28,21,Sandy Blvd/223rd,"2,040",31.8,20.6,5.07,7151,"2,060",Fall2018
29,22,Parkrose,570,32.6,23.4,4.48,791,530,Fall2018
30,23,San Rafael,140,19.3,12.0,8.73,283,140,Fall2018
31,24,Fremont,500,19.3,14.3,7.33,1317,490,Fall2018
32,25,Glisan/Rockwood,160,23.3,16.0,6.54,341,170,Fall2018
33,29,Lake/Webster Rd,220,17.7,14.2,7.35,693,200,Fall2018
34,30,Estacada,590,16.3,10.7,9.78,6098,560,Fall2018
35,32,Oatfield,620,13.8,10.3,10.12,2303,590,Fall2018
36,33,McLoughlin/King Rd,"4,950",33.6,24.7,4.24,19959,"4,960",Fall2018
37,34,Linwood/River Rd,530,12.7,9.8,10.66,2341,540,Fall2018
38,35,Macadam/Greeley,"3,700",29.6,22.3,4.69,20651,"3,690",Fall2018
39,36,South Shore,210,20.1,11.9,8.80,909,200,Fall2018
40,37,Lake Grove,70,18.3,11.9,8.77,221,80,Fall2018
49,38,Boones Ferry Rd,420,20.7,13.1,7.96,2644,410,Fall2018
50,39,Lewis & Clark,170,17.9,12.0,8.74,367,160,Fall2018
