Date,BUS,MAX,LIFT/CAB,WES
7/1/08,1306900,784700,21951,
8/1/08,1308800,633100,21632,
9/1/08,1328900,702300,21744,
10/1/08,1365800,699700,22630,
11/1/08,1284100,656600,21803,
12/1/08,1184900,661500,15266,
1/1/09,1296700,643000,21354,
2/1/09,1301300,634400,21820,6250
3/1/09,1235300,653900,21108,5700
4/1/09,1299000,679500,21994,5850
5/1/09,1292900,700900,21621,5900
6/1/09,1222800,721000,20858,5665
7/1/09,1167400,729600,20253,5650
8/1/09,1158000,691400,20397,5900
9/1/09,1198500,744185,20540,5625
10/1/09,1224600,763900,21071,5950
11/1/09,1172700,724100,20624,5700
12/1/09,1050700,670600,20133,5375
1/1/10,1199500,716450,20999,6150
2/1/10,1208200,754300,21304,6300
3/1/10,1168700,769800,21218,6150
4/1/10,1201300,759250,21538,6300
5/1/10,1196600,770150,21217,6300
6/1/10,1156600,814400,20738,6600
7/1/10,1105500,839750,20475,6950
8/1/10,1076800,819550,20164,7000
9/1/10,1138100,789600,20493,7200
10/1/10,1181300,809700,21162,7150
11/1/10,1106000,761800,19957,6750
12/1/10,1018100,711400,20662,5900
1/1/11,1145900,750900,20603,6900
2/1/11,1142200,763300,20266,7150
3/1/11,1138500,769900,21109,7600
4/1/11,1197400,832100,21407,8050
5/1/11,1196600,839800,21056,8200
6/1/11,1143700,868900,20597,8100
7/1/11,1103500,879700,20221,8100
8/1/11,1077200,846100,20019,8300
9/1/11,1144800,836500,20337,8150
10/1/11,1205100,824000,21261,8450
11/1/11,1145400,766100,20781,8000
12/1/11,1060900,749800,20407,7250
1/1/12,1163300,756100,20283,8100
2/1/12,1189100,784900,21154,8200
3/1/12,1154200,789400,20923,7850
4/1/12,1228700,843800,21410,8500
5/1/12,1224700,852000,20334,8750
6/1/12,1160000,842000,20352,8700
7/1/12,1124900,860200,20030,8850
8/1/12,1099700,831400,19737,8750
9/1/12,1177800,770100,19891,9000
10/1/12,1236200,770200,20446,9300
11/1/12,1176400,711200,20154,8450
12/1/12,1091400,654700,19466,7550
1/1/13,1157200,685500,19750,8450
2/1/13,1208500,709800,20479,8500
3/1/13,1169100,737900,20507,8350
4/1/13,1177900,756100,20920,8950
5/1/13,1175400,773700,20874,9000
6/1/13,1127900,797500,20195,9200
7/1/13,1083900,786100,19841,9450
8/1/13,1075800,764000,19925,10300
9/1/13,1107600,724900,20227,10500
10/1/13,1203100,757000,21015,10700
11/1/13,1151700,711300,20606,10100
12/1/13,1069700,674800,19273,9050
1/1/14,1188600,688100,19970,10050
2/1/14,1175100,707600,18113,9900
3/1/14,1200300,729200,20632,10000
4/1/14,1257500,755500,21083,10150
5/1/14,1259800,792600,20831,10200
6/1/14,1192100,777100,20153,10100
7/1/14,1167800,787200,19817,9950
8/1/14,1171700,772800,19891,10000
9/1/14,1229000,727700,20410,10000
10/1/14,1270700,750900,20895,10100
11/1/14,1180600,681100,19671,9000
12/1/14,1132600,682100,19692,8375
1/1/15,1222800,696400,19852,8975
2/1/15,1245700,722800,20389,9000
3/1/15,1224100,730400,20364,9125
4/1/15,1255600,747600,20942,9150
5/1/15,1247300,730100,20817,9275
6/1/15,1192100,730700,20313,9200
7/1/15,1148700,756400,19475,8950
8/1/15,1154400,751300,20120,9175
9/1/15,1216900,793800,20603,9300
10/1/15,1205300,805700,21041,9325
11/1/15,1150000,754700,20572,8600
12/1/15,1062600,733346,20129,7950
1/1/16,1162900,760800,19466,8675
2/1/16,1182700,777300,21214,8900
3/1/16,1146800,778100,20908,8950
4/1/16,1181300,812066,21265,9100
5/1/16,1176200,755600,21394,8775
6/1/16,1112800,802700,20789,9025
7/1/16,1084800,820400,20271,9350
8/1/16,1090300,775725,20217,9175
9/1/16,1137400,753200,20638,9125
10/1/16,1148200,775500,20963,8975
11/1/16,1110500,766093,20412,8875
12/1/16,1006900,744900,17000,8100
1/1/17,1139600,757400,15790,8425
2/1/17,1122800,754500,20042,8750
3/1/17,1131800,781200,20410,8875
4/1/17,1168000,779900,20680,8900
5/1/17,1197500,722100,20838,8325
6/1/17,1113110,784190,20124,8675
7/1/17,1074440,780830,19799,8625
8/1/17,1063350,761840,18014,8200
9/1/17,1116130,759360,19942,8750
10/1/17,1140830,780450,20542,8675
11/1/17,1088300,736570,20185,8375
12/1/17,1019640,702580,19130,7750
1/1/18,1101140,723660,19785,8000
2/1/18,1108640,736830,18432,7850
3/1/18,1112950,750870,20379,7700
4/1/18,1139870,753460,20324,7950
5/1/18,1153605,766236,20083,7950
6/1/18,1090760,776460,19313,8100
7/1/18,1059836,774450,18897,8150
8/1/18,1059890,755990,19142,7900
9/1/18,1121720,770380,19337,8250
10/1/18,1144850,775960,19315,8250
11/1/18,1092730,752660,18694,7300
12/1/18,1001720,696380,18373,6250
1/1/19,1091980,727010,18822,7100
2/1/19,1066950,715360,17259,6950
3/1/19,1095990,733390,18830,7025
4/1/19,1144510,741840,19053,7275
5/1/19,1154880,777510,18578,7275
6/1/19,1115320,788610,18315,7400
7/1/19,1079170,755330,18273,7300
8/1/19,1102460,711640,18278,6900
9/1/19,1139760,743310,18389,7350
10/1/19,1172970,767220,18597,7500
11/1/19,1118960,744380,18311,7000
