date,rain,snow,total_precip,avg_precip
2017-01-31 00:00:00+00:00,234.41,136.92,14.63,2.44
2017-02-28 00:00:00+00:00,1000.67,36.97,40.88,6.81
2017-03-31 00:00:00+00:00,594.85,4.26,23.60,3.93
2017-04-30 00:00:00+00:00,420.50,0.00,16.57,2.76
2017-05-31 00:00:00+00:00,179.12,0.00,7.06,1.18
2017-06-30 00:00:00+00:00,124.62,0.00,4.91,0.82
2017-07-31 00:00:00+00:00,0.00,0.00,0.00,0.00
2017-08-31 00:00:00+00:00,9.94,0.00,0.39,0.07
2017-09-30 00:00:00+00:00,177.88,0.00,7.01,1.17
2017-10-31 00:00:00+00:00,370.52,0.00,14.60,2.43
2017-11-30 00:00:00+00:00,580.61,0.00,22.88,3.81
2017-12-31 00:00:00+00:00,226.57,27.91,10.03,1.67
2018-01-31 00:00:00+00:00,485.26,0.00,19.12,3.19
2018-02-28 00:00:00+00:00,154.87,33.54,7.42,1.24
2018-03-31 00:00:00+00:00,293.80,0.09,11.58,1.93
2018-04-30 00:00:00+00:00,306.34,0.00,12.07,2.01
2018-05-31 00:00:00+00:00,26.92,0.00,1.06,0.18
2018-06-30 00:00:00+00:00,90.11,0.00,3.55,0.59
2018-07-31 00:00:00+00:00,1.93,0.00,0.08,0.01
2018-08-31 00:00:00+00:00,10.86,0.00,0.43,0.07
2018-09-30 00:00:00+00:00,130.36,0.00,5.14,0.86
2018-10-31 00:00:00+00:00,291.65,0.00,11.49,1.92
2018-11-30 00:00:00+00:00,230.11,0.00,9.07,1.51
2018-12-31 00:00:00+00:00,969.27,3.25,38.32,6.39
2019-01-31 00:00:00+00:00,743.36,7.06,29.57,4.93
2019-02-28 00:00:00+00:00,1035.10,160.83,47.12,7.85
2019-03-31 00:00:00+00:00,500.49,53.77,21.84,3.64
2019-04-30 00:00:00+00:00,877.63,0.00,34.58,5.76
2019-05-31 00:00:00+00:00,554.69,0.00,21.85,3.64
2019-06-30 00:00:00+00:00,277.99,0.00,10.95,1.83
2019-07-31 00:00:00+00:00,211.30,0.00,8.33,1.39
2019-08-31 00:00:00+00:00,257.04,0.00,10.13,1.69
2019-09-30 00:00:00+00:00,936.52,0.00,36.90,6.15
2019-10-31 00:00:00+00:00,502.62,0.50,19.82,3.30
2019-11-30 00:00:00+00:00,712.81,7.37,28.38,4.73
2019-12-31 00:00:00+00:00,968.01,15.58,38.75,6.46
